,Comentarios,Idioma,TweetPre
5305,parte alma verlo llorar los chicos recuperan enseguida son muy sabios,es,parte alma verlo llorar chico recuperan enseguida sabios
5307,por quieres aprovechar que hoy tienes insomnio quieres jajaja dormir temprano porque estas hiper cansada migraña deja,es,quieres aprovechar insomnio quieres jajaja dormir temprano hiper cansada migrana deja
5308,cuando comunista habla miente cuando calla encubre cuando estan poder roban cuando tienen poder destruyen entiendo carrera esta desesperado porq los numeros nos den mal para sentirse contento eran espantosos los numeros dejo anterior administración exacto,es,comunista habla miente calla encubre estan poder roban poder destruyen entiendo carrera desesperado porq numeros sentirse contento espantosos numeros dejo anterior administracion exacto
5309,santiago gonzales senador carrera esta desesperado porque los numeros nos den mal carrera antes director general del del interior anos integrante del ministerio los anos tuvo bajo mando seguridad publica uno los responsables del colapso apátrida,es,santiago gonzalez senador carrera desesperado numeros carrera director general interior ano integrante ministerio ano bajo mando seguridad publica responsables colapso apatrida
5313,parecer sufrir depresion ansiedad hace una persona mierda que quiere lastimar jajaja otros parte corazon que piensen eso conociendo como soy por todo tuve pasar,es,parecer sufrir depresion ansiedad hace persona mierda quiere lastimar jajaja parte corazon piensen conociendo pasar
5314,tengo sueno celular esta voy jajaja llorar bus butter bus trending song choice,es,sueno celular jajaja llorar butter trend song choice
5315,entro esta vacio casi nigun alma veo por aqui,es,entro vacio casi nigun alma aqui
5319,cansada que estoy por favor siento que alcanza con dormir mes,es,cansada favor siento alcanza dormir
5323,estaba preocupada porque tenia una llamada trabajo enfrente casa estaba carro que compra colchones fierro viejo contesto primero que oigo una jauria jajaja interlocutor ofreciendo disculpas por alboroto homeoffice vidagodin,es,preocupada tenia llamada trabajo enfrente casa carro compra colchones fierro viejo contesto primero oigo jauria jajaja interlocutor ofreciendo disculpas alboroto homeoffice vidagodin
5328,momento sienta bolsillo que clase directiva mediocre tiene encabezada por inepto que jueguen con estadio vacio,es,momento sienta bolsillo clase directiva madiocre encabezada inepto jueguen estadio vacio
5329,hago que lloro por cebolla unas ganas llorar tenia,es,hago lloro cebolla unas ganas llorar tenia
5331,finalmente cometer legales jajaja ansioso pra rebekah aparecerrrrrrr,es,finalmente comecei legacy jajaja ansioso rebekah aparecerrr
5334,jajaja por ganarle ladder que triste,es,jajaja ganarle ladder triste
5341,jajaja tampoco gusta fredbear verdad desvio mirada suelo algo triste,es,jajaja tampoco gusta fredbear verdad desvio mirada suelo triste
5345,estoy cortante estoy triste,es,cortante triste
5347,confunda ser manso con ser menso dijera tengan advierto que cansado porque hasta los tontos tenemos tope esta vez voy jajaja mandarte jajaja chingar madre algo asi,es,confunda manso menso dijera tangana advierto cansado tontos tope jajaja mandarte jajaja chingar madre
5352,sali del recorrido fac muy triste estoy dando cuenta que nos hemos perdido mucho estos dos anos pandemia voy jajaja decir que quiero regresar jajaja presenciales tom fps,es,sali recorrido triste dando cuenta perdido ano pandemia jajaja decir quiero regresar jajaja presenciales fcpys
5353,ahora mandan jajaja los equipos clientes jajaja llorar tambien seguira siendo que haga que quiera,es,ahora mandan jajaja equipos clientes jajaja llorar tambien seguira siendo haga quiera
5354,cuando estes triste porque consigues entradas para fav recuerda que jajaja pais nunca vendra mio,es,estes triste consigues entradas recuerda jajaja pais nunca vendra
5355,aca completas con los datos que pide documento apartado firma dejalo vacio momento importante completa ambos lados,es,completas datos pide documento apartado firma dejalo vacio momento importante completa ambo lados
5359,ansiedad silencio,es,ansiedad silencio
5360,fue jajaja llorar,es,jajaja llorar
5363,triste ver esas actitudes pero ame decirte que merezco tolerare mas eso,es,triste actitudes decirte merezco tolerare
5365,algun ansioso,es,algun ansioso
5368,despertaste mas cansado que cuando acostaste,es,despertaste cansado acostaste
5369,mas triste todo que sentencia dos por uno fueron dos personas asesinadas anos chiste,es,triste sentencia persona asesinadas ano chiste
5372,feliz porque tenia boleto para ver jarras triste porque estoy otro perro estado,es,feliz tenia boleto jarras triste perro
5374,que album para personas que son amadas como jajaja ellos los quiere nadie ponen jajaja llorar,es,album persona amadas jajaja quiere nadie ponen jajaja llorar
5383,buenas noches gente estoy agotada vere jajaja reb desde cama,es,buenas noches gente agotada vere jajaja cama
5384,del atleta llorar por los arbitro cona,es,atleti llorar arbitros cona
5385,voy jajaja escuchar musica triste que estoy trasteando jajaja,es,jajaja escuchar musica triste xque tristeando jajaja
5389,que triste insultemos mas delincuentes para pasar pena boricmiente,es,triste indultemos delincuentes pasar pena boricmiente
5393,sobrevaloran mucho por animación pero igual una obra que gusta bastante manga fue los primeros que lei tengo muchisimo carino nunca olvidare como hizo llorar historia akaya,es,sobrevaloran animacion igual obra gusta bastante manga primeros muchisimo carino nunca olvidare hizo llorar historia akaza
5402,sin llorar porque dijiste que engañaba pedias perdon,es,llorar dijiste enganaba pedias perdon
5404,estoy cagada tengo empezar tratamiento para ansiedad mama tira mejor medicina uno mismo dale buenisimo como avisaste antes,es,cagada empezar tratamiento ansiedad mama tira mejor medicina mismo dale buenisimo avisaste
5408,las perritos hacen llorar mucho jajaja,es,perritos hacen llorar jajaja
5409,triste porque hacen cabeza vos despues quedas mil maquinando,es,triste hacen cabeza despues quedas maquinando
5410,era unico que faltaba para realmente caer depresion,es,unico faltaba realmente caer depresion
5411,muy triste,es,triste
5413,coachella version pobre rie para llorar,es,coachella version pobre llorar
5414,verdad ando bien triste por que tengo boleto para jajaja ver jajaja harry pero voy jajaja aparentar que estoy por que tengo esperanzas,es,verdad ando bien triste boleto jajaja jajaja harry jajaja aparentar esperanzas
5415,eva para llorar por favor,es,llorar favor
5416,tambien quiero estar triste,es,tambien quiero triste
5417,still shocked este ano veo jajaja mis bebes miley harry justin muero antes ansiedad,es,still shock jajaja bebes miley harry justin muero ansiedad
5419,wey odio los dias los que por comer bien ansiedad siento que soy horrible todos los aspectos,es,odio dia comer bien ansiedad siento horrible aspectos
5420,maaaaal pobrecito antonio sabe que pasa tristan con roto que triste tv,es,aaah pobrecito antonio sabe pasa tristan roto triste
5421,paquetito titular always estoy muy preocupado por seria como debe estar pasando noche,es,paquetito titular always preocupado soria debe pasando noshe
5424,vida constantemente amenazada morir deshidratada por tanto llorar,es,vida constantemente amenazada morir deshidratada llorar
5425,estoy igual dejo llorar,es,igual dejo llorar
5426,estaba muy nerviosa muchas gracias,es,nerviosa muchas gracias
5428,los bajones ansiedad vuelven jajaja vida duerme todo dia,es,bajones ansiedad vuelven jajaja vida duerme
5429,pisando jajaja pero ansiosa porque gusta nada jajaja ultimo momento peguen,es,pisando jajaja ansiosa gusta jajaja ultimo momento peguen
5431,entre mucha ansiedad pero cero trauma todo bien,es,mucha ansiedad cero trauma bien
5435,quieres solo dilo soy fuerte empieza jajaja llorar,es,quieres solo dilo fuerte empieza jajaja llorar
5436,estoy panico estoy muy desesperada maldita sea,es,panico desesperada maldita
5438,tengo ojos llorosos por convicto quiero llorar,es,ojos llorosos covicho quiero llorar
5439,ignoren como fuera jajaja llorar solo jueguen ese mierda,es,ignoren jajaja llorar solo jueguen mierda
5441,enteraste que estudio hecho muestra que entre del personal salud presento sintomas que permitian sospechar episodio depresivo que entre dijo que penso suicidarse que esta nueva ola comida hay casi mil infectados,es,enteraste estudio hecho muestra personal salud presento sintomas permitian sospechar episodio depresivo dijo penso suicidarse nueva covid casi infectados
5445,estoy volviendo jajaja tener ansiedad,es,volviendo jajaja tener ansiedad
5453,triste porque existen los precious moments,es,triste existen precious moment
5454,aveces para sonreir hay que llorar cierra los ojos aprende jajaja volar,es,aveces sonreir llorar cierra ojos aprende jajaja volar
5458,serian queriendo escuchar musica banda triste para que den ganas llorar tomar jajaja que ilusa,es,serian queriendo escuchar musica banda triste ganas llorar tomar jajaja ilusa
5460,delfina delfin barrett ballet pio dicen los pollitos tienes con que defenderte perro mantenido mejor vete jajaja llorar otro lado,es,delfina delfin bartlett ballet dicen pollitos defenderte perro mantenido mejor vete jajaja llorar lado
5462,seque estare depresion,es,seque estare depresion
5465,bueno pm que queres que haga video llorando blanco negro con musica triste para que creas que rompe huevos gente sin vida propia,es,bueno queres haga video llorando blanco negro musica triste creas rompe huevos gente vida propia
5466,necesito llorar los brazos persona que esta haciendo llorar como ess,es,necesito llorar brazos persona haciendo llorar
5475,verdad bien triste todo esto pero uno que puede hacer nunca pasa nada,es,verdad bien triste puede hacer nunca pasa
5476,estoy tan cansada ponerme triste nada alguien detenga esto porfa,es,cansada ponerme triste alguien detenga porfa
5478,aver largan luna park que tengo depresion por jajaja ver jajaja harry reci ustedes haria feliz,es,aver largan luna park depresion jajaja jajaja harry reci ustedes haria feliz
5479,una triste noticia saber que estas cris descansa paz,es,triste noticia saber cris descansa
5481,gobierno parece mas preocupado acarrear jajaja gente para revocación mandato que disminuir los efectos ola comida mediante promoción medidas salud publica,es,gobierno parece preocupado acarrear jajaja gente revocacion mandato disminuir efectos covid mediante promocion medidas salud publica
5482,mejor descansa entonces algunas veces comentarios acciones ponen nervioso jajaja uno desconectar por horas que necesites mejor,es,mejor descansa entonces veces comentarios acciones ponen nervioso jajaja desconectar horas necesites mejor
5483,hoy caigo una depresion pego palo,es,caigo depresion pego palo
5484,simone cansado que mire cuenta corriente,es,simeone cansado mire cuenta corriente
5485,deja llorar,es,deja llorar
5489,che como pinta llorar sala espera medica uruguaya,es,pinta llorar sala espera medica uruguaya
5493,estaba triste hasta que esto gracias,es,triste gracias
5494,eso sera cuando interfieran los derechos humanos que aqui son los derechos del delincuente triste eso asi,es,serum interfieran derechos humanos aqui derechos delincuente triste
5496,puedo dejar llorar jajaja,es,puedo dejar llorar jajaja
5500,orgullo por que trabajado hoy equipo iguala cabreo por venirnos vacio campo espectacular ante equipo enorme que nos sirva para seguir creyendo confiar que los resultados llegaran enhorabuena por temporada que esta marcando,es,orgullo trabajado equipo iguala cabreo venirnos vacio cmpo espectacular equipo enorme sirva seguir creyendo confiar resultados llegaran enhorabuena temporadon marcando
5501,ando cansada dia aun termina,es,ando cansada termina
5504,sii eso estoy desde hace rato por eso estoy contemplando irme sin haber conseguido nada verdad estoy mega agotado,es,hace rato contemplando irme haber conseguido verdad mega agotado
5507,tengo mas ansiedad que facultad mande mail jajaja que cobrar,es,ansiedad facultad mande mail jajaja cobrar
5510,siento triste desde mis anos tengo epilepsia una contractura muscular hace anos debe karate los extrano mucho tengo dinero para conseguir una mascara parka una playera algo amo mucho lucha libre pero podido jajaja una funciona lucha,es,siento triste ano epilepsia contractura muscular hace ano dege karate extrano dinero conseguir mascara parka playera lucha libre podido jajaja funcion lucha
5511,hijo trajo gelatina para comer con abuela cuando abuela comio gelatina puso jajaja llorar,es,hijo trajo gelatina comer abuela abuela comio gelatina puso jajaja llorar
5516,que triste vida como que estas viejo para que jajaja los tengas lugar donde coger limitada imaginación sentido comun para irte jajaja simple motel,es,triste vida viejo jajaja lugar coger limitada imaginacion comun irte jajaja simple motel
5518,jajaja puedo dejar verlos serio que mejor hilo cuando sienta triste vere estos videos,es,jajaja puedo dejar verlos serio mejor hilo sienta triste vere video
5519,habia escuchado mareos solo insomnio,es,habia escuchado mareos solo insomnio
5521,esto hacer llorar jajaja muchas nenas,es,hacer llorar jajaja muchas nenas
5523,secuelas del comida ansiedad jajaja,es,secuelas covid ansiedad jajaja
5525,estoy nerviosa mal creo que esta noche voy jajaja poder dormir tanto pensar,es,nerviosa creo noche jajaja poder dormir pensar
5527,amiga tienes una playlist para llorar necesito pasamela,es,amiga playlist llorar necesito apsamela
5529,dios que preocupante triste esta situación,es,dios preocupante triste situacion
5531,buzo azul guapa dejo gran trauma creo cada vez voy jajaja llorar,es,buzo azul guada dejo gran trauma creo cada jajaja llorar
5534,rio para llorar,es,llorar
5536,sentis mal cansada porque pones jajaja limpiar jajaja,es,sentis cansada pone jajaja limpiar jajaja
5538,ese nudo que deja llorar peor sensación,es,nudo deja llorar peor sensacion
5540,bien muchas insomnio que trastoca mis horarios como estas,es,bien muchas insomnio trastoca horarios
5541,intentado pero quita los nervios estan matando encima quiero llorar todavia manana,es,intentado quita nervios estan matando encima quiero llorar todavia manana
5546,pues mira paso con claudia zonza cuando metio gol contra city mtv paraban decirlo siempre cansaba mismo nivel pero cansado tema que directamente hablas conmigo das por sentadas las cosas,es,pues mira paso claudia zornoza metio city rmtv paraban decirlo siempre cansaba mismo nivel cansado tema directamente hablas conmigo sentadas cosas
5547,como explicarles que esto puso mas ansiosa,es,explicarles puso ansiosa
5549,llorar por ver cap anime donde todos estan felices pasion,es,llorar anime estan felices pasion
5550,sientate rato ves cansado,es,sientate rato cansado
5553,pesimista veria medio vacia cambio veo medio hiena,es,pesimista veria medio vacia cambio medio hiena
5554,deja llorar queres,es,deja llorar queres
5555,quiero arrancar gimnasio pero ansiedad asi aca estoy comiendo por ansiedad,es,quiero arrancar gimnasio ansiedad comiendo ansiedad
5557,sigo muy vacia,es,sigo vacia
5560,acabo hacer dicho tienes ansiedad muy alta seguramente lleves tiempo tomando ansiolíticos,es,acabo hacer dicho ansiedad alta seguramente lleves tiempo tomando ansioliticos
5561,que triste ver jajaja personas tan desarmada tan inhumana gente sin corazon cometer delito muy horrible matar jajaja hermano jajaja mama hay crimen mas perfecto,es,triste jajaja persona desarmada inhumana gente corazon cometer delito horrible matar jajaja hermano jajaja mama crimen perfecto
5564,los hombres son terribles mismo que ayer respondia historias sobre mis senos mis labios mismo que hoy sube una historia super orgulloso relación amorosa reir llorar con esos tipos,es,hombre terribles mismo ayer respondia historias senos labios mismo sube historia super orgulloso relacion amorosa reir llorar tipos
5566,crisis tomes acciones desesperadas planeadas peor decidir sin programar elimina panico ansiedad contactarnos ext solo whatsapp,es,crisis tome acciones desesperadas planeadas peor decidir programar elimina panico ansiedad contactanos solo whatsapp
5568,oye que ganas llorar entraron por culpa,es,ganas llorar entraron culpa
5569,llorar volvio algo dia jajaja dia,es,llorar volvio jajaja
5571,hora hacernos llorar,es,hora hacernos llorar
5574,duermo mucho porque asi siento triste,es,duermo siento triste
5575,liv canta hope pongo jajaja llorar las mejores canciones pero tiene reconocimiento que merece,es,canta hope pongo jajaja llorar mejores canciones reconocimiento merece
5576,disfruta apple nuestro episodio hablando sobre depresion mercurioretrogrado,es,disfruta apple episodio hablando depresion mercurioretrogrado
5577,que jajaja algo que padezco insomnio pero logro dormir aun sea algo ronca asi despierta creo que algo jajaja arde troya,es,jajaja padezco insomnio logro dormir aunq ronca despierta creo jajaja arde troya
5578,filtren los nombres definitivos por favooooor que alguien piense gente ansiosa,es,filtren nombres definitivos favooor alguien piense gente ansiosa
5579,ansiedad que ver nuevo series intentabas como got grey que sabes que personajes van jajaja morir pero acordas bien que momento toy llorando,es,ansiedad nuevo series intentasas grey sabes personajes jajaja morir acordas bien momento shorando
5580,hola vengo jajaja avisar que voy jajaja desactivar cuenta unos dias para descansar twitter que estoy poco agotado,es,hola vengo jajaja avisar jajaja desactivar cuenta dia descansar twitter agotado
5585,puedo con esta ansiedad marico ayuda por favor solo quiero ver jajaja harry,es,puedo ansiedad marico sydua favor solo quiero jajaja harry
5591,indignación total impotencia hija anos jajaja podido iniciar ano escolar por que colegio liceo nacional pague saca del sima responden ningun telefono ninguna entidad ayuda triste realidad para los ninos colombia,es,indignacion total impotencia hija ano jajaja podido iniciar escolar colegio liceo nacional ibague saca simat responden ningun telefono ninguna entidad ayuda triste realidad ninos colombia
5598,tuve que bloquear jajaja gusta ansiedad seria peor saben feo que siente ska,es,bloquear jajaja gusta ansiedad seria peor saben sjka
5599,gusta tener conocidos clase ingles ansiedad jajaja,es,gusta tener conocidos clase ingles ansiedad jajaja
5600,estoy muy cansado,es,cansado
5601,estoy triste algo especifico solo periodo siendo periodo,es,triste especifico solo periodo siendo periodo
5604,hay que hacer gran julio salir jajaja llorar por todos lados tirarle unos mangos jajaja prensa jajaja para que apoye manija alinear jajaja todos detras del llanto dirigentes jugadores cuerpo tecnico hinchas prensa partidaria,es,hacer gran ruglio salir jajaja llorar lados tirarle mango jajaja prensa jajaja apoye manija alinear jajaja detras llanto dirigentes jugadores cuerpo tecnico hinchas prensa partidaria
5605,gobierno preocupado hagas reir,es,gobierno preocupado hagas reir
5607,ansiedad que cuando las menciones aparece alguien hablandome sobre politica porque estan cucu suyo con manita alto que serio yuyu que aparezca pokemon facha salvaje ataque porque jajaja veces mejor esquivar jajaja dialogar,es,ansiedad menciones aparece alguien hablandome politica estan cucu manita alto serio yuyu aparezca pokemon facha salvaje ataque jajaja veces mejor esquivar jajaja dialogar
5611,tengo corazon apretado lisandro silva compartio triste noticia jajaja dias revelar sexo bebe,es,corazon apretado lisandra silva compartio triste noticia jajaja dia revelar sexo bebe
5614,revista bilboard japon publico articulo sobre breath version japonesa esperamos que puedas darte respiro cansada que puede llegar jajaja ser vida tomes fuerza para seguir adelante queremos que musica este cerca corazon,es,revista bilboard japon publico articulo breath version japonesa esperamos puedas darte respiro cansada puede llegar jajaja vida tome fuerza seguir adelante queremos musica cerca corazon
5616,estoy por llorar por estres dios alguien que traiga comida,es,llorar estres dios alguien traiga comida
5617,agotado como tomarla pero fue gran dia miercoles,es,agotado pomarola gran miercoles
5619,alcance boletos ahora quiero llorar loveontour,es,alcance boletos ahora quiero llorar loveontour
5625,vamo nuevo ahora sin llorar dale,es,vamo nuevo ahora llorar dale
5626,puedo con esta ansiedad jaajqjaj,es,puedo ansiedad jaajqjaj
5627,que debo aceptar mis derrotas pero voy jajaja llorar igual rechazan este proyecto,es,debo aceptar derrotas jajaja llorar igual rechazan proyecto
5628,noble corcel seguro quedo agotado despues tanto montarlo dices serio porque jajaja paso exactamente mismo contigo ese dia atacaste directamente autocontrol corazon ivanov especialmente cuando bailaste conmigo con ese traje tan bonito que,es,noble corcel seguro quedo agotado despues montarlo dice serio jajaja paso exactamente mismo contigo atacaste directamente autocontrol corazon livanov especialmente bailaste conmigo traje bonito
5629,voy jajaja dejar llorar vuelvo jajaja medicación yivo casa conmigo tambien volveria psiquiatra,es,jajaja dejar llorar vuelvo jajaja medicacion yibo casa conmigo tambien volveria psiquiatra
5630,ano tuvimos mas fotos tablero hurto mercancia atrapamos jajaja varios policia los procesa ese mismo dia salen sacan mercancia sus caja dejan vacia llevan leche bebe sin pagar llevan las botellas vino licor mas buscado,es,fotos tablero urto mercancia atrapamos jajaja varios policia procesa mismo salen sacan mercancia caja dejan vacia llevan leche bebe pagar llevan botellas vino licor buscado
5633,propongo hacer grupo gente con insomnio ansiedad consultarnos mutuamente,es,propongo hacer grupo gente insomnio ansiedad consoltarnos mutuamente
5637,quiero llorar,es,quiero llorar
5640,fiorella estaba parada afuera fiorella esperando que busquen vendi fiorella lloraba fiorella buscaron vine jajaja pieza fiorella llore fiorella ahora pare ratito jajaja descansar fiorella pero voy jajaja seguir llorando tengo ganas llorar,es,fiorella parada afuera fiorella esperando busquen bendi fiorella lloraba fiorella buscaron vine jajaja pieza fiorella llore fiorella ahora pare ratito jajaja descansar fiorella jajaja seguir llorando ganas llorar
5641,asi muy triste,es,triste
5643,esta agotado todo que trabaja poca verguenza,es,agotado trabaja poca verguenza
5645,siempre igual siempre dando problemas cortes internet pero eso jajaja hora cobrar perdonais dia sinverguenzas cada vez mas gente esta cansada vais jajaja empezar jajaja caer clientes por vuestra falta compromiso oigo,es,siempre igual siempre dando problemas cortes internet jajaja hora cobrar perdonais sinverguenzas cada gente cansada vais jajaja empezar jajaja caer clientes falta compromiso yoigo
5651,esta empezando ataque ansiedad unico que quiero alcohol,es,empezando ataque ansiedad unico quiero alcohol
5655,hay que aclarar que las donaciones ponian nerviosa por miedo jajaja que marron distraiga deje aplastar boton jajaja,es,aclarar donaciones ponian nerviosa miedo jajaja mauron distraiga deje aplastar boton jajaja
5657,sinceramente jajaja personas que tengo alrededor las agarro las abrazo derramo con ellas tipo pinta llorar lloramos cantamos jajaja todo pulmon,es,sinceramente jajaja persona alrededor agarro abrazo derrapo tupo pinta llorar lloramos cantamos jajaja pulmon
5658,que pecho llorar metido roll,es,pecha llorar metido loll
5662,falla todo presidente dedicado jajaja dialogar con todos seguir con los mismos que esta mas preocupado vida que tiene que vida que nos esta dando necesitamos presidente que nos represente queremos limosna,es,falla presidente dedicado jajaja dialogar seguir mismos preocupado vida vida dando necesitamos presidente represente queremos limosna
5663,puse jajaja llorar porque puedo quiero seguir yendo jajaja facultad pero quiero ser psicologa,es,puse jajaja llorar puedo quiero seguir yendo jajaja facultad quiero psicologa
5664,que tristeza que jajaja pedir jajaja presidencia que inyecte capital para mover alcaldia por que asi puede cuanto robo transmilenio por que vano llego jajaja alcaldia como secretario movilidad que triste vamos mal peor mucho dulce,es,tristeza jajaja pedir jajaja presidencia inyecte capital mover alcaldia puede cuanto robo transmilenio vano llego jajaja alcaldia secretario movilidad triste vamos peor dulce
5665,que tristeza que las universidades buah uday son atacadas por gobierno del estado puebla mas triste que ocupen armas las fuerzas policiacas,es,tristeza universidades buap udlap atacadas gobierno puebla triste ocupen armas fuerzas policiacas
5666,cosa que das contexto que sale los huevos das lastima feliz triste vida bye,es,cosa contexto sale huevos lastima feliz triste vida
5667,broma casa que gato tiene depresion jajaja,es,broma casa gato depresion jajaja
5668,paula siempre hace llorar con algunos trozos sus capitulos,es,paula siempre hace llorar trozos capitulos
5669,triste que esta gente vota,es,triste gente vota
5671,estoy muy triste,es,triste
5672,imaginen vivir bajo sombra persona clave minimo generaciones del pop musica performance las redes sociales las personas abusivas son por defecto desangradas britney spears siempre sera spears ese sera castigo triste caso,es,imaginen vivir bajo sombra persona clave minimo generaciones musica performance redes sociales persona abusivas defecto desangeladas britney spear siempre serum spear serum castigo triste caso
5673,papa estoy yendo jajaja casa jajaja que hora llegas masomenos estoy sola triste creo que sea mejor opción este momento literal termino psiquiatrico,es,papa yendo jajaja casa jajaja hora llegas masomenos sola triste creo mejor opcion momento literal termino psiquiatrico
5675,quiere llorar quiere llorar,es,quiere llorar quiere llorar
5684,sobre catsup puede hacerte triste cerebro watch,es,catsup puede hacerte triste cerebro watch
5687,tenia mucho que sentia cansada,es,tenia sentia cansada
5688,estoy triste mandame una foto poto por,es,triste mandame foto poto
5692,las mandaron voy jajaja llorar siento que las merezco,es,mandaron jajaja llorar siento merezco
5693,estoy triste voy jajaja ver encanto otra vez,es,triste jajaja encanto
5698,dejaron sin cupo natación para veces ahora voy jajaja estoy triste como pincho que encuentra gym cerrado feriado,es,dejaron cupo natacion veces ahora jajaja triste tincho encuentra cerrado feriado
5700,dejala que esta cansada,es,dejala cansada
5702,hoy duele hasta vesicula que sacaron hace anos estoy agotada mil apenas voy jajaja mitad chamba,es,duele vesicula sacaron hace ano agotada apenas jajaja mitad chamba
5703,noticia mas triste vida,es,noticia triste vida
5705,cansado saca los tripaloski,es,cansado saca tripaloski
5706,loco soy capaz subir solo dibujo acabado voy jajaja llorar que pasa por que tanta verguenza,es,loco capaz subir solo dibujo acabado jajaja llorar pasa tanta verguenza
5708,triste que cambio plataforma ahora esta jodiendo insta esperemos tambien saquen ahi,es,triste cambio plataforma ahora jodiendo insta esperemos tambien saquen
5709,mala que soy lol pone super triste pero tambien hace gracia jajaja ratos muy cortos,es,mala pone super triste tambien hace gracia jajaja ratos cortos
5710,antes exigir que comiencen jajaja dejar afectar jajaja otros sus derechos cuando les lluevan los trancazos ponen jajaja llorar,es,exigir comiencen jajaja dejar afectar jajaja derechos lluevan trancazos ponen jajaja llorar
5711,ohhh ninguan mira esto acerca completamente asombrada para admirar escrito como obra arte que solicito permiso para llorar tatuarme esto porque una preciosidad,es,ohhh qingxuan mira acerca completamente asombrada admirar escrito obra arte solicito permiso llorar tatuarme preciosidad
5712,puse linda para jajaja verle dejo plantada jajaja rio para llorar,es,puse linda jajaja verle dejo plantada jajaja llorar
5713,mas hubiera preocupado que cogieran jajaja que todo nice nsnsnsnsnnsnd,es,preocupado cojieran jajaja nice nsnsnsnsnnsnd
5714,espero ansiosa beba,es,espero ansiosa beba
5717,nadie esta jajaja favor del aborto como tal acto super triste peligroso esta jajaja favor legalización para que mueran mas mujeres cual muy terrible,es,nadie jajaja favor aborto acto super triste peligroso jajaja favor legalizacion mueran mujeres terrible
5718,tengo ganas hasta llorar,es,ganas llorar
5723,que triste que toy sintiendo ultimamente,es,triste ultimamente
5727,ansiedad por favor vuelvas que extrano,es,ansiedad favor vuelvas extrano
5729,quiero estar triste punta cana,es,quiero triste punta cana
5730,dan ganas llorar todos esos trades dios quiera que pat llegue jajaja ver uno todos esos,es,ganas llorar trade dios quiera llegue jajaja
5735,wtf con ansiedad que traigo hasta taquicardia,es,ansiedad traigo taquicardia
5737,estoy muy triste,es,triste
5745,ver jajaja abuela llorar con visita mientras decia sabia que estarias aqui quebranto corazon,es,jajaja abuela llorar visita mientras decia sabia estarias aqui quebranto corazon
5749,vivo desde que mama fallecio puedo estar bien nada llorar porque duele alma que dolor que sentis jajaja veces camufla con poco felicidad pero siempre esta siempre duele,es,vivo mama fallecio puedo bien llorar duele alma dolor sentis jajaja veces camufla felicidad siempre siempre duele
5754,quiero tener ansiedad,es,quiero tener ansiedad
5756,mismo organismo gobierno distinto promesa mari para avalar megafusion cablevisión telepod casi sin condicionamientos mas que las ofertas del propio grupo llevo jajaja triste dictamen aprobación cdc sec comercio apelación telefonica fue manual pero yfue,es,mismo organismo gobierno distinto promesa macri avalar megafusion cablevision telecom casi condicionamientos ofertas propio grupo llevo jajaja triste dictamen aprobacion cndc comercio apelacion telefonica manual yafue
5758,ando bien cansada vida verdad,es,ando bien cansada vida verdad
5761,posta voy jajaja llorar chau,es,posta jajaja llorar chau
5763,jajaja unos les guste ciertas cosas van jajaja decir jajaja deje subir threat mis fans solo antes hubo donde cain hate cuando solo hablo mis fans armo pleitos literalmente nada jajaja este punto cansada critiquen disgustos cuenta,es,jajaja guste ciertas cosas jajaja decir jajaja deje subir thread favs solo cain hate solo hablo favs armo pleitos literalmente jajaja punto cansada critiquen misgustos cuenta
5764,voy jajaja llorar que bonito,es,jajaja llorar bonito
5765,manera voy jajaja llorar con viene,es,manera jajaja llorar viene
5766,carla esta mas nerviosa por cumple,es,carla nerviosa cumple
5767,creo que despues tanta tortura por fin estoy empezando jajaja sanar solo sale llorar felicidad,es,creo despues tanta tortura empezando jajaja sanar solo sale llorar felicidad
5776,venga ahora repitelo sin llorar ala jajaja camita vas jajaja calentito del todo porque hemos fallado mas grande duermes jajaja gustito esta noche,es,venga ahora repitelo llorar jajaja camita jajaja calentito fallado grande duermes jajaja gustito noche
5778,muy triste asunto,es,triste asunto
5779,para gente que tiene depresion porque mata esta,es,gente depresion mata
5781,habia empezado jajaja caminar hacia ella para verla parece estar preocupado por aquello quieres volver jajaja normalidad puedo notar tus ojos que debe haber alguna manera solo uhh,es,habia empezado jajaja caminar hacia verla parece preocupado aquello quieres volver jajaja normalidad puedo notar ojos debe haber alguna manera solo uhhm
5784,hace poco cumpli ano con cantan olvide celebrarlo triste,es,hace cumpli bangtan olvide celebrarlo triste
5788,ando preocupada por eso todos los dias cuando siquiera hay una posible fecha,es,ando preocupada dia siquiera posible fecha
5790,compre telefono jajaja las horas quemo quiero llorar,es,compre telefono jajaja horas quemo quiero llorar
5791,comunista elmer montana tiene mala fama cali anda desesperado por embilletarse como sea,es,comunista elmer montana mala fama cali anda desesperado embilletarse
5792,carlos paramos llorar tanto lol como estudiando mates,es,carlos paramos llorar estudiando mate
5793,fin puedo llorar sin mute,es,puedo llorar mute
5795,pone facu foto haces llorar bro,es,pone facu foto haces llorar
5799,ansiosa que estoy por seguir leyendo jajaja mis dos nuevos amores thomas cresswell audrey rose wadsworth,es,ansiosa seguir leyendo jajaja nuevos amores thomas cresswell audrey rise wadsworth
5802,mas nervioso testigo falso,es,nervioso testigo falso
5805,tengo insomnio aparte van dos noches ahogado belleza jajaja conoces latin mafia,es,insomnio aparte noches ahogado belleza jajaja conoces latin mafia
