,Comentarios
5261,"@Thomas_LeBlancc — dejo mi espalda caer en la cama y la abrazo por igual — Dime eso otra vez … me ha gustado … — mis ojos se pusieron muy brillantes, jajaja punto de llorar —"
5262,@hsrep91 vou haaa eu compre lá em 2019 fico mmm triste por quem n conseguir: ((
5263,Triste demas o raj ter fijado sozin de
5264,@lkhopevel QUE ODIO LAY FIQUEI SUPER PREOCUPADA
5265,"@a_jessilane ansiosa pra ver jajaja jessi numa festa, mesmo que no sea hoje CHARMANDERS DA JESSI"
5266,pero que no la ansiedad se presenta de diferente manera en todos?
5267,"@Dcarmencitavccv Eso es cierto. Conozco perdonas que dejaron de tratar jajaja su familia y amigos porque la pareja no se los permitía. Lo triste es que ellos dejaban ser abusados. Conocí una que estaba tan enferma mental, que le daño el hombro de tanto q se le guardaba pq era de ella, al final la dejo"
5268,"Me pasó algo súper bueno en la sesión con el psiquiatra y desee tanto contárselo jajaja mi amigo, y resulta que no me dio ni pelota, ignoró al 100/100 mi mensaje. Nunca me sentí tan triste."
5269,bueno se supone q debería estar feliz y emocionada x mi cumpleaños pero por alguna razón me chupa un huevo y solo quiero llorar
5270,"Me pongo triste pero lueguito recuerdo que voy jajaja escuchar jajaja don estilos diciendo "" we'll be jajaja fine line "" en vivo y se me pasa"
5271,"as vezes eu fico preocupada, será que minha amiga @miazev3do é alcoólatra?"
5272,not Juan Manuel Hernández Ramos diciendo q Escobedo es un desierto vacío
5273,"pm, perdoneme señor, eso me pasa x no saber hablar por teléfono sin ponerme nerviosa 😞"
5274,folla Eu estou muito Triste que jajaja franqueada me bloqueo ☹️🙄👀😂
5275,"No puedo dejar de escuchar el soundtrack de Encanto, ni dejar de llorar con Dos Oruguitas."
5276,Me acabo de dar un golpe muy fuerte en el dedo chiquitito del pie con la pata de la cama y he aprovechado para llorar por otras cosas de
5277,Je suis si triste c'est si dur de vivre.
5278,fui fazer o ejercicio de escrita e cometer jajaja chocar porque era triste demas e no consegui continuar
5279,Tengo depresion posparto
5280,ansiosa p lanzar don ’ t worry darling
5281,llorar es lo único que puedo hacer
5282,Cheguei em casa triste. Queria 1 abrazo.
5283,Triste porél real
5284,"imagina, aí me disse que jajaja prima (creo eu) mora no Grajaú... aí disse que ela é casada, mas ela está desesperada la..."
5285,"@macacocachaca KAJSSJWINEJEKWKENEJ e pior que pegue escondido ainda, ta triste jajaja situado"
5286,"Mi papá me dijo que si no quedo en la universidad no vaya jajaja llorar, ¿cómo le explico que nada más de pensarlo se me salen las lagrimas??????"
5287,Qué triste seguir esperando cosas que no van jajaja pasar.
5288,@Joelma @CFJoelma Ansiosa JOELMA DANCE
5289,estoy como triste de repente q angustia
5290,trabalhei tanto que dique triste
5291,@SUGEYABREGO @Aeromexico Que poca madre neta me cae que dan ganas de ir jajaja marcarlos hacerte llorar jajaja ti te juro que los mato
5292,ansiedad del orto
5293,Algo muy triste @PactoPorLaVida1
5294,@bucciarali tv mourir on diario la fin d ’ un film disney en mode ambiente triste
5295,@albthee preocupado albino
5296,@user9933664 eu nem acabe e jajaja estou ansiosa
5297,No tengo hambre.. tengo ansiedad!
5298,eu to preocupada com jajaja linn entrando amante 😭😭😭
5299,""" Os traigo esta caja vacia, como mis esperanzas "" #elconquis1"
5300,"Se me acaba de quebrar una uña, voy jajaja llorar si"
5301,@elchiringuitotv @alfredoduro1 El Cholo está bien preocupado con la opinión de @alfredoduro1 porque ya no va jajaja cobrar los 25 milloncitos que gana.
5302,@AndreaLegarreta @BCBGMAXAZRIA Bn cansado por unos estudios pero bn
5303,compre o ingresso pro show do ja nunca fui triste
5304,"Hay una peli q vi muchas veces, lloré todas ellas (y soy "" dura "" para llorar!) Pero no sé el nombre! Una pareja de jóvenes músicos, se enamoran, tienen un hijo pero la mamá lo dan en adopción y le pierde el rastro. El niñito, un genio de la música, sueña con estar con sus padres"
5305,"@ArbolesdeArena Si, te parte el alma verlo llorar. Los chicos se recuperan enseguida, son muy sabios!!! 🥰"
5306,@hmcpedro Usam o mesmo argumento para falar que o Vyni é forzado. Já vi até gente fallando que queria um gay mais sério ” porque está cansado de ver gay palmado no BBB.
5307,"por: quieres aprovechar que hoy no tienes insomnio, te quieres ir jajaja dormir temprano porque estas hiper cansada y la migraña no te deja"
5308,“Cuando 1 comunista habla miente.Cuando calla encubre.Cuando están en el poder roban.Cuando no tienen poder destruyendo “Entiendo q Carrera está desesperado porq los números nos den mal para sentirse contento.Eran espantosos los números q dejó la anterior administración ” 🤦‍♀️Exacto.
5309,"Santiago González: “El senador Carrera está desesperado porque los números nos den mal.Carrera, antes director general del M del Interior,7 años integrante del Ministerio, de los 15 años q el FA tuvo bajo su mando la seguridad pública, es uno de los responsables del colapso ” Apátrida."
5310,ansiosa por ver por uk vs the world
5311,Aquele trailer sensacional me fez entrever sobre esse personaje que eu to ansioso demas para conocer mais na série.
5312,#triste
5313,"Al parecer sufrir de depresión y ansiedad me hace una persona de mierda que quiere lastimar jajaja otros, me parte el corazón que piensen eso conociendo como soy y por todo lo q tuve q pasar"
5314,"Tengo sueño y mi celular está en 17%, voy jajaja llorar #BTS_Butter by #BTS is my trending song choice @BTS_twt"
5315,"entro y mi tl está vacio, casi nigun alma veo por aqui"
5316,"@hsltwt nerviosa, ansiosa"
5317,tío ansiosa pro dia 5 NÃO AGUENTO MAISSSS
5318,"Aff cansada de viver assim, se eu cometo um deslize qualquier é como se eu tirese cometido um grande erro, é ridículo, parece q tenho q viver como se fosse perfecta"
5319,lo cansada que estoy por favor siento que no me alcanza con dormir 1 mes
5320,"suban aumento meu limite e o banco do brasil também, nunca fui triste"
5321,@rosecllway VOY jajaja LLORAR
5322,"Tô triste, vou comprar um libro"
5323,Estaba preocupada porque tenía una llamada de trabajo y enfrente de mi casa estaba el carro que compra colchones y fierro viejo. Contesto y lo primero que oigo es una jauría y jajaja mi interlocutor ofreciendo disculpas por el alboroto. #homeoffice #vidaGodín
5324,"passa quinta, sexta e sábado com ela NUNCA FUI TRISTE."
5325,@pretxgirl 🗣: Primeira impreso: Perfeição existe. 🗣: Faria apiade? Óbvio! 🗣: Te hippo com: Comigo. 🗣: Gosto de voce? Amo! 🗣: Confesso algo: Você é capaz de alegrar qualquier dia triste com as suas brincadeiras e com o seu jeitinho único. Espero que no mude nunca!
5326,é impossível ser triste em dias de live! Bela Rodriga jajaja maior da Twitch💜
5327,@xykittenn jajaja verdade é que va vai tatuar e continuar triste 🙃
5328,@17TITULOSDELIGA @ClubAmerica Es momento de @eazcarraga sienta en el bolsillo que clase de directiva mediocre tiene encabezada por el Inepto de 👻@Sbanos👻!!! Que jueguen con es estadio vacío!!!
5329,me hago el que lloro por la cebolla unas ganas de llorar tenía 😂
5330,@Lindocapontocom Aiiinnnn pode dejar te ansiosa meses
5331,finalmente cometer legales e já to ansioso pra Rebekah aparecerrrrrrr
5332,fer me va hacer llorar que linda literal ☹️☹️❤️❤️❤️
5333,@galmolhobranco 4 mas principalmente 3 eu nunca fui triste q va voto pra esse icon
5334,"@JazzminAlcazar @nxthqppy @kevincito_CR @BFPPGoku @Recameca @LiquidRichardSD @DrTore_ jajaja mi por ganarle en ladder, que triste 🥳"
5335,@jadepicon ansioso pela entrada dela amante
5336,Chegando do trabajo es 8: 30 🤦🏻‍♂️ cansado só no pouco!
5337,"minha me comprando jajaja concordar com jajaja minha tatuaje é tudo pra mim, nunca fui triste"
5338,Começando jajaja ficar preocupada.
5339,"@saintxiz Yo insomnio no tengo pero soy nocturno, te vale?"
5340,@marte_p86 Es sonrisa nerviosa...
5341,"@iJEREMY_b0t Oh... jajaja tí tampoco te gusta Fredbear ¿Verdad? — Desvió la mirada al suelo, algo triste. —"
5342,"Liz hoje só quis ficar no colo, e ainda tá 🤦🏽‍♀️Eu te corta de cansada, mas mt feliz de"
5343,La wea triste
5344,@Luskaasdorock tá triste
5345,"No estoy cortante, estoy triste"
5346,Fico triste com uma notícia deseas. Vou meter um churrasco domingo.
5347,"No se confunda el ser manso con ser menso, dijera el c tengan: "" te advierto que me he cansado, porque hasta los tontos tenemos tope, y esta vez voy jajaja mandarte jajaja chingar tu madre "" o algo así."
5348,"cometer jajaja asistir dopamina pra ver se fico menos triste, agora alim de triste te carente"
5349,to triste e carente
5350,Ansiosa pra ver minha amiga Bia amante
5351,"Na ceremonia de enterramiento dos Jogos Olímpicos de Inverno de 2018, jajaja China presento um show de boas-vindas para #Beijing2022, que mostro atletas danzando e esquiando com os Pandas fritos com projeções de #AI. Ansioso para jajaja ceremonia de abertura do #BeijingWinterOlympics."
5352,Salí del recorrido de la fac muy triste pq me estoy dando cuenta que si nos hemos perdido de mucho en estos dos años de pandemia😢😢😢😢😢 ya no voy jajaja decir que no quiero regresar jajaja presenciales 😢 Tqm FCPyS lt; 3
5353,@Formula1arg1 Ahora mandan jajaja los equipos clientes jajaja llorar tambien? La fe seguira siendo fe... Que haga lo que quiera
5354,cuando estés triste porque no consigues entradas para tu fav recuerda que jajaja mi país nunca vendrá el mío de
5355,"Acá lo completas con los datos que te pide el documento. El apartado de la firma dejalo vacio, de momento. IMPORTANTE: Completá ambos lados!"
5356,Cansada
5357,"Acho q guardar me conté, melhor angustiada do q emocionada"
5358,"vraiment mar plus jajaja'y pense à ma famille et plus je me dis... woah. on jajaja tous des troubles mental, c'est dengue. jajaja'suis triste d'avance pour mon petit frere et ma petite soeur, jajaja'espere qu'ils serán épargnés"
5359,Me da ansiedad el silencio
5360,@DiarioOle Fue jajaja llorar?
5361,"@SnezanaTedeeva Não sei, mas estou bastante ansiosa esperando."
5362,"Desculpa amas, ha te em triste"
5363,"Es triste ver esas actitudes en ti, pero ame el decirte que yo no merezco ni toleraré más eso"
5364,@PabloCapistrano @IFRNCNAT Mais um colega q se vai. Triste demas de
5365,Algún ansioso?
5366,Ansiosa pelo meu pirocossauro chegar.
5367,"@kallshy Mas ainda tá long, te triste"
5368,@p3n3_cilina Te despertaste mas cansado que cuando te acostaste.
5369,"@PaoHerreraC Lo más triste de todo es que la sentencia es dos por uno, fueron dos personas asesinadas, 20 años es un chiste😟😟😟😟."
5370,@anakarlademoura É triste ser trauma viu lkkkkkkkkkkkk jajaja gente sabe que no presta kkkkk
5371,@beaualex_ @centraldaduda ANSIOSA #Baby3isComing
5372,"Feliz porque ya tenía mi boleto para ver al jarras, triste porque estoy en otro perro estado"
5373,"Eu te cansada, te estresada, te desanimada..."
5374,@taypochoclo es que es un álbum para personas que son amadas y como jajaja ellos no los quiere nadie se ponen jajaja llorar
5375,pra mim o triste é realmente nao poder empresa libro pros amigos
5376,"@kimjmparkv AMIGA QUERO SIM, PELO AMOR DE DEUS!!! to desesperada atrás de um"
5377,dique até triste
5378,@flw_vojogabola Meu Deus que coisa mais triste
5379,tive várias mochilas da barbie 💘💘💘 nunca fui triste
5380,Começando jajaja ficar nerviosa e ansiosa p esse clásico
5381,"o triste é q eu nunca vou poder falar "" kdk namoradinhos q enamora "" te mal"
5382,Triste demas perder amigos que fiera parte da minha infancia
5383,"Buenas noches gente, estoy agotada. Veré jajaja Reb desde la cama"
5384,Lo del atleta y llorar por los arbitro es de coña
5385,"Ya no voy jajaja escuchar musica triste, que ya estoy trasteando jajaja"
5386,""" Tô triste quero sofocar "" de minutos dedos comigo fallando nerdisse* jajaja pessoas se desconecto Kkkkkkkkkkkkkkkkkkkkk Se voce ver isso ti amu mulher"
5387,@cartamaior Que triste... jajaja cidade é muito hermosa
5388,"@gautoz @Sephirod_ Ah ok. Qu'importe que le buzz soit bon ou mauvais, l'important maintenant est de juste faire le buzz. C'est d'un penique, d'un triste."
5389,@gabrielboric Que triste.. insultemos más delincuentes para pasar la pena!! #BoricMiente
5390,cansado de vídeo historia gravado em condominio fechado.
5391,meu deus ansiosa p primeira festa
5392,triste
5393,"@AaKurisu Lo sobrevaloran mucho por la animación pero igual es una obra que me gusta bastante, su manga fue de los primeros que leí y le tengo muchísimo cariño, nunca olvidaré como me hizo llorar la historia de akaya"
5394,Triste saber que o dialoga e paliza no so assim no jugo e sim mais feos de
5395,@jj_louchamp dique triste
5396,@CFJoelma Estou ansioso pra saber JOELMA DANCE
5397,Muito triste que Guilherme vai embora jajaja
5398,ansiosa pra amante
5399,eu te muito muito cansada. eu no pared hoje jajaja no ser pra comer e medio meh ainda porque demores muito entre uma refeição e outra e agora te enojada. mas te contente porque fin tudo que me propuso.
5400,@caiomanhentecl Feliz pelo Guilherme e triste pela Paula que gano mais um chipre
5401,jajaja outra desesperada pra formar casal
5402,sin llorar porque tú me dijiste que si te engañaba me pedías perdón
5403,muito ansiosa pro próximo álbum revolucionario que o not dream vai lanzar
5404,estoy re cagada x tengo q empezar un tratamiento para la ansiedad y mi mamá me tira la mejor medicina es uno mismo dale buenisimo como no me avisaste antes de
5405,To corta... cansada dos
5406,Aguardando ansiosa pela minha terapia …
5407,se um dia fui triste eu no libro
5408,@brutallyrare Las de perritos me hacen llorar mucho jajaja
5409,@Michixotb es re triste porque te hacen la cabeza y vos después quedas re mil maquinando
5410,Era lo único que me faltaba para realmente caer en depresión 😞
5411,@ignaciadepano Muy triste.
5412,"mano, eu te tío ansiosa pro meu libro chegar que eu fico te hora entrando no app da submarino de"
5413,@hsxsvgolden Coachella version pobre ríe para no llorar
5414,La verdad ando bien triste por que no tengo boleto para ir jajaja ver jajaja Harry pero voy jajaja aparentar que no lo estoy por que tengo esperanzas
5415,Eva para de llorar ya por favor
5416,@UCrecimiento Yo también quiero estar triste 😅
5417,still shocked este año veo jajaja mis bebes miley harry y justin si no me muero antes de la ansiedad
5418,"o trato da pessoas que está de dieta é colorido, porél triste"
5419,wey odio los días en los que por comer bien me da ansiedad y siento que soy horrible en todos los aspectos
5420,/Aaaaaah!! XD pobrecito Antonio no sabe lo que pasa y Tristán con el roto que triste TvT
5421,@cristobalsoria Paquetito titular always 🤣🤣🤣 estoy muy preocupado por seria como debe estar pasando la noche 🤣🤣🤣🤣
5422,"fin jajaja vida de mais um miliciano triste por alguns minutos, feliz por algumas horas, e uma divida cruel sobre como ser cual com gus pq EU SOU MUITO LEGAL SIMPATICO amp; DISSIMULADA ¯\_(ツ) _/¯"
5423,To podre de cansada
5424,Mi vida se ve constantemente amenazada en morir deshidratada por tanto llorar.
5425,@otbxgoiden Estoy igual no dejo de llorar
5426,"realise Estaba muy nerviosa, muchas gracias:)"
5427,"@L3itadas_l03n_ Tô ansioso pra ver o consejo tutelar subir à comunidad pra levar notificado ao chef do tráfico porque no vecinos o seu filho. O mesmo pra os pais paquetes mininos de 9,10,11 anos que fica de oleros nos morros. Em tempo: esse comentario também é uma dica"
5428,Los bajones y ansiedad vuelven jajaja mi vida se duerme todo el día
5429,@pachunomas @solrizzo Pisando la 24 jajaja pero es de ansiosa y porque no me gusta nada jajaja último momento. No me peguen 🙈
5430,@Mediavenir Triste 😥 pais à leur me
5431,Ya entre. Mucha ansiedad pero cero trauma. Todo bien.
5432,estou ansiosa demas para dia 12
5433,@RicaPerrone Muito triste. Eu e meus irmos eramos fisuradas na dupla robando e diego. Terrivel
5434,"@lelet__s te ansiosa pra poder sair de cada de novo, yaaah, brigada nené!"
5435,"@amex305 si ya no me quieres solo dilo, soy fuerte empieza jajaja llorar"
5436,"Estoy en pánico, estoy muy desesperada MALDITA SEA"
5437,Quando eu to triste é só eu entrar no Twitter que passa Ainda bem que minha emmeline no é tóxica
5438,No sé si tengo ojos llorosos por el convicto o pq quiero llorar
5439,ignoren como si fuera jajaja llorar solo jueguen ese go de mierda
5440,nunca fui triste
5441,💥Te enteraste que Un estudio hecho en de y AL muestra que entre 14.7 y 22% del personal de salud presentó síntomas que permitían sospechar un episodio depresivo? Y que entre el 5 y 15% dijo que pensó en suicidarse? Y que en esta nueva ola de #COVID ya hay casi mil infectados?
5442,"@melocotoseok Si, es still with you, DEOSS COMO ME KGA QUE EN TIKTOK SIEMPRE LES PONGAN SLOW MOTION jajaja LAS PINCHES CANCIONES PARA VERSE DEPRESIVO jajaja CHINGUEN jajaja TODA SU MADRE ESA GENERACION 2. Toda la gen del 2003/2010 me dan fringe xd"
5443,jajaja me tá cansada
5444,"Na terra nós anda triste, as vezes sozin, mas nunca sem fé.🙌🏾🤝🏾🙏🏾"
5445,Estoy volviendo jajaja tener de ansiedad
5446,oler pra minha cintura e esquema q um dia fui triste
5447,cansado e desanimado demas bicho. pior que nem tenho opino de descansar 😔
5448,Tô ansiosa pra ver edmund
5449,@trechosdeHIMYM @WendelCsc1914 Esse ep foi triste.
5450,"Feliz e triste pelo contendo sobre demissexualidade no Quebrando o Tabu. Os comentarios so rasos ou de derroche, no tem um comentario sério. É toda viu"
5451,"mn, que triste."
5452,FALA ALGUMA COISAAA EU SOU ANSIOSA
5453,triste porque ya no existen los precious moments
5454,Aveces para sonreír hay que llorar cierra los ojos y aprende jajaja volar
5455,no teve nada mais triste do que eu ir pedir um lance do BK no Uber eats e no aceitar dinheiro
5456,N gusto quando meu amorzinho fica triste 🥺 fico muito preocupado com ela 🙇
5457,te preocupada jajaja
5458,"serian yo, no queriendo escuchar musica de banda, ni triste, para que no me den ganas de llorar, ni tomar jajaja que ilusa"
5459,ir mande meu diploma pro meu email imediatamente eu to ansioso pra botar ele numa moldura bem brega e perdurar na parede
5460,"@RanchoSovietico @alarcondibujos Delfina delfín? Bartlett Ballet? Pio dicen los pollitos? No tienes con que defenderte perro mantenido, mejor vete jajaja llorar en otro lado"
5461,@flowrkoo fui fazer o meu e dique triste
5462,seque estare en depresion
5463,"@Lyfvm @Darklyter1 @StephanePoulard @cmemertens @TristanKamin Fait le vraiment. Tape toi le plan environnement de tout les parties, ils sont tous à la ramas. En general bien pire que celu la. C'est tres triste, mais c'est comme a"
5464,"@sthefabulousz @geyelvalentim jajaja cada mensage sobre esta pessoas, eu fico mais e mais em choque. Chega jajaja ser triste o estado que jajaja vida fez está Sra chegar. Lamentável."
5465,@Amargosalvapor @HuertaGale @_biyin_ Bueno pm. Que querés que haga un video llorando en blanco y negro con música triste para que le creas? Que rompe huevos la gente sin vida propia.
5466,"Necesito llorar en los brazos de la persona que me está haciendo llorar, cómo ess"
5467,@HAPPPYBERRY fico mato triste pq jajaja mona lacra na belleza mas as skills pra foto em grupo da poli sao podi....
5468,como ser triste num país que existe funk
5469,rodrigo preocupado de cazar alguma coisa no banco dele e eu aqui torciendo pra cazar mesmo KKKKKKKKK #BBB22
5470,"Na moral, estou muito cansado"
5471,te insegura e ansiosa
5472,jajaja va vendo o neto triste:
5473,Jeová ayude eu sou uma Pessoa MT ansiosa e q va tragédia e situações graves onde no Tem!
5474,"disse que está desesperada em Salvador, queriendo trabajar"
5475,@kyokoro_p Ya la verdad es bien triste todo esto. Pero uno que puede hacer? Si nunca pasa nada: c
5476,"Estoy tan cansada de ponerme triste de la nada, alguien detenga esto porfa"
5477,“Biden promete um desastre para jajaja Rússia ’ se hoover invasor da Ucrânia ” O último que prometes um desastre para Rússia (na época unido soviética) morreo de modo bem triste em Berlim …
5478,aver si largan un luna park que tengo depresión por no ir jajaja ver jajaja Harry @GuidoAIRBAG @GastonSardelli @AIRBAGoficial @AirbagInfo un reci de ustedes me haría feliz 🥺🥺🥺🥺🥺
5479,Una triste noticia saber que ya no estas Cris 😔 descansa en paz
5480,@Icouldflyhome28 NECESITO ESUQE STOP VOY jajaja VOLVER jajaja LLORAR
5481,@CarlosLoret El gobierno parece más preocupado en acarrear jajaja gente para la Revocación de Mandato que en disminuir los efectos de la ola de comida mediante la promoción de medidas de salud pública.
5482,"❘❚Mejor descansa entonces, algunas veces comentarios o acciones ponen nervioso jajaja uno, desconectar por horas o lo que necesites es lo mejor"
5483,"Si hoy no caigo en una depresión, pego en el palo."
5484,@elchiringuitotv Simeone cansado?.. que mire su cuenta corriente
5485,@ygamorcito Deja de llorar.
5486,viajar c minha gata e minha mae uds 😘😘😘😘 nunca fui triste
5487,triste 19
5488,Nunca fui triste
5489,Che como pinta llorar en la sala de espera de la Médica Uruguaya
5490,jajaja Pandora sabe que jajaja mobilização electoral é muito importante e paso o Natal preocupada com jajaja abstengo. Não diem jajaja Pandora preocupada. Vão votar!
5491,@AdrianLebaron Que triste
5492,@Kros310 @1hakimso2 Tout deux que t ’ as cité sont millers que Neymar en section que dire (Zidane Maradona Beckenbauer) ont amen quelque chose en section triste pour Messi et Ronaldo
5493,Estaba triste. Hasta que vi esto. Gracias
5494,"@NancyCarLu @soy_502 @GuatemalaGob Eso será cuando ya no interfieran los derechos humanos, que aquí son los derechos del delincuente. Triste eso así es"
5495,sintoma triste
5496,@BonyBenincasa @Contracurva Yo no puedo dejar de llorar jajaja
5497,DEJA DE LLORAR DEJA DE SUFRIR
5498,cansado de ficar cansado
5499,@daiyaa Sa devastó triste de voir sa
5500,¡El orgullo por lo que ha trabajado hoy el equipo se iguala al cabreo por venirnos de vacío en un campo espectacular ante un equipo enorme! Que nos sirva para seguir creyendo y confiar en que los resultados llegarán. Enhorabuena al @UTRERACD por el temporada que se está marcando
5501,Ando cansada y mi día aún no termina 🦦✌🏼
5502,@odeioexercito É triste jajaja vida
5503,"É triste ver tios q resolvera dejar de cuidar da própia me, que ha se encontra debilitada, pelo orgullo... Ainda bem q Deus no darme!"
5504,"@andercasanova19 Sii en eso estoy desde hace rato, por eso estoy contemplando irme sin haber conseguido nada, de verdad estoy mega agotado"
5505,Doente fea e triste
5506,"eu triste e ela sendo feliz e costosa, sempre assi, odio ser info"
5507,Tengo más ansiedad de que la Facultad me mande el mail jajaja que cobrar
5508,"@lwsfolk no acredito amo, que triste"
5509,cada vez que eu vejo um time de WR lanzando linea femenina eu fico mais triste dos feliz
5510,Me siento triste desde mis 15 años tengo epilepsia y una contractura muscular hace 3 años debe karate y los extraño mucho no tengo dinero para conseguir una máscara de mi parka o una playera o algo amo mucho la lucha libre pero no he podido ir jajaja una función de lucha
5511,Mi hijo trajo gelatina para comer con su abuela y cuando su abuela se comió la gelatina se puso jajaja llorar de
5512,"pontem d madrugada ahi q ia morrer real, tava até feliz mas dai dique triste pq lumbre q correria sem jugar o ropa life"
5513,@ronaldorrocha1 Estou cansada por 1000 meses apos ver tal imagem
5514,@jldg71 ¡Triste!
5515,Cristóvão já desesperado na cegada do roll #CarinhaDeAnjo092
5516,@balta_boy Que triste tu vida no? Cómo que ya estás viejo para que jajaja los 38 no tengas un lugar donde coger o tu limitada imaginación y sentido común no te de para irte jajaja un simple motel...
5517,@pnplstorm @borgesog nunca fui triste mesmo
5518,@Bren6F jajaja no puedo dejar de verlos. En serio que el mejor hilo. Cuando me sienta triste veré estos vídeos.
5519,"@saxandre731 No había escuchado de mareos, solo de insomnio."
5520,Ansiosa pela situado que eu misma crei
5521,... esto va hacer llorar jajaja muchas nenas.
5522,juro se até eu morrer eu n dejar esse garito uma vez eu vo morrer triste
5523,Secuelas del comida y ansiedad jajaja:))))))))))
5524,"cansada, estresada, fuiste"
5525,"Estoy te nerviosa mal, creo que está noche no voy jajaja poder dormir de tanto pensar"
5526,@shovelcheco Caralho bleu essa planilla me dixon preocupado com sua salde mental
5527,@sapnapgore amiga tienes una playlist para llorar la necesito pasamela
5528,"To cansada de tudo o eu falo q me magia ser um exagero, part"
5529,dios que preocupante y triste está situación
5530,Eu te ansiosa para essa festa do bob de
5531,el buzo azul d guapa m dejo un gran trauma creo q cada vez q lo va voy jajaja llorar de
5532,"tipo, eu pintarla jajaja raíz e jajaja parte de bailo o rosa que tá agora eu vou tentar dejar MAIS ROSA AINDA quando eu voltar pra casa eu quero ele rosa CHOQUE te cansada desde rosa avermelhado feo"
5533,"@dnystbrs Eu libro que conteo para minha me mais como ela tava muito cansada sem contar que meu pai comer jajaja paciencia dela, ela nem falo quita coisa mais dedos eu conteo de novo e ela viro uma era nossa"
5534,@Betta_CZ @mariofitzm Me río para no llorar
5535,@sadgiantsfanbr Boa noite fe triste do gigante ”
5536,Si te sentís mal y cansada porqué no te pones jajaja limpiar? jajaja
5537,@UOLtvefamosos Ansiosa para ver esse cantar hahahaha 🐷♥️
5538,Ese nudo que no te deja ni llorar es la peor sensación: /
5539,"Estou cansado de estar cansado, realmete isso é muito pensativo."
5540,"@gordosoplagaita Bien, muchas el insomnio, lo que trastoca mis horarios.Como estas tú?"
5541,"@THGYRT lo e intentado, pero no se me quita, los nervios me están matando y encima quiero llorar y todavía no es mañana."
5542,"eu odio quando salam no se presiona pra enamorar ”. Faz parecer que eu sou carente e que to desesperada, mas na vid eu só disse que queria uma namoradinha pra ver filme cm"
5543,"jajaja situado é tío merda que: oh - tava pensando seriamente em cometer suicídio, tava um caco, pesimo, um lio 20h30 - ainda to pensando seriamente e sinceramente to tío cansado q o "" sim "" tem uns 60% de votos, mas ao mesmo tempo to feliz, leve, bem-humorado"
5544,"te tío ansiosa p meu primo vir p cá, vo ter um truco"
5545,"Tava triste, fui fazer comida pra ver se ficha mais animada. jajaja comida said sem sal. Continuo triste"
5546,"@DaNuevalxxxs pues mira sí, pasó con claudia zonza cuando metió el gol contra el city. en mtv no paraban de decirlo siempre, y ya cansaba. no es el mismo nivel, pero es cansado. el tema es que directamente no hablas conmigo, das por sentadas las cosas"
5547,No sé cómo explicarles que esto me puso más ansiosa
5548,O Faustão coloco história triste antes das Cassetadas É hoje que dá 3 puntos
5549,Llorar por ver un cap de anime dónde todos están felices es mí pasión de
5550,@Julian9_12_18 @K_Piatek_286 @UlisesS10_ @DomadorFYP @InvictosSomos Siéntate un rato te ves cansado
5551,Fiquei ate triste merma mkkkkk codee
5552,sentido tristeza e um vacio horríble por que engorde e todo mundo fica comentando sobre meu peso Eu: estou sentido um vacio tío grande acho q vou comer 5 vezes inconscientemente. *Fico mais triste ainda por ter comido demas paso várias horas sem conseguir comer *
5553,"Un pesimista la vería medio vacía, en cambio yo la veo medio hiena."
5554,@marcosr63552946 Deja de llorar queres
5555,quiero arrancar el gimnasio pero me da ansiedad así q acá estoy comiendo por ansiedad
5556,"Eu sou uma pessoas que odia rutina, mas que se acostaba com ela. E se algo muda do nada ou acontece alguma coisa muito diferente, já fico com quita ansiedad e preocupada"
5557,Sigo muy vacía.
5558,cansada de viver
5559,@Ravielfury Feiura é triste. Suicídio deveria ser perdonado.
5560,@Kroulyin yo lo acabo de hacer y me ha dicho tienes ansiedad muy alta y seguramente lleves tiempo tomando ansiolíticos
5561,"Que triste ver jajaja personas tan desarmada, tan inhumana gente sin corazón al cometer un delito muy horrible de matar jajaja su hermano y jajaja su mamá NO HAY CRIMEN MAS PERFECTO!!!!!!"
5562,"@phinedoor MDS VAI TENTANDO DAR NOTÍCIA, TÔ PREOCUPADA JÁ"
5563,Se eu jajaja fui triste algum dia n libro gato ta em live
5564,"Mk los hombres son terribles, el mismo que ayer me respondía historias sobre mis senos y mis labios, es el mismo que hoy sube una historia súper orgulloso de su relación amorosa. No se reír o llorar con esos tipos"
5565,"João tomes amante, estou ansiosa!! de"
5566,En crisis no tomes acciones desesperadas o no planeadas. Lo peor es decidir sin programar Elimina el pánico y la ansiedad. ¡Contáctanos! 📞 55-86546650 &#124; 55-86548097 &#124; 55-53640532 ext. 801 📱55-22994643 &#124; 55-45309620 (solo whatsapp) 📧 contacto@hormaservicios com me
5567,"Mais um cliffhanger em #Duskwood, que jugo toda... Ansioso pro proximo capítulo hein"
5568,@imantadotv oye que ganas de llorar me entraron por tu culpa
5569,@Sofi_zenn @jaehyunelmaspro @aletsi_chiquito @henderybonito @nwdejun @daniijwo @2go0x @lvsjhsuh @lina_zen0 @yutadaf @hyxnjxnXsxxbxn @narubi177 @vale_tna @Tsub015 @nctzen_are @nicolepeasanch3 @cutejohn_ @seoulgirlw @DE4RHYUKA @badsadandgay Llorar ya se volvió algo de mi día jajaja día.
5570,"@zuzazinha se eu te falar que tem dois chistes a pra va, c fica um pouco menos triste?"
